"lga","lga_ward","facilityName","facilityType","ownership","stateCode","lgaCode","facilityTypeCode","ownershipCode","facilityNoCode"
"AGEGE","Orile","Orile- Agege General Hospital","Secondary","Public",24,"01",2,1,"0043"
"AGEGE","Oyewole","Biola Convalescent Health Centre","Primary","Private",24,"01",1,2,"0044"
"AGEGE","Oyewole","VETA Hospital","Secondary","Private",24,"01",2,2,"0045"
"AGEGE","Oyewole","Divine Hills Maternity Centre","Primary","Private",24,"01",1,2,"0046"
"AGEGE","Oyewole","Biobatam Hospital","Primary","Private",24,"01",1,2,"0047"
"AGEGE","Oyewole","Ope-Olu PHC","Primary","Public",24,"01",1,1,"0048"
"AGEGE","Oyewole","Popoola Abati Hospital","Primary","Private",24,"01",1,2,"0049"
"AGEGE","Papa Ashafa","Papa Ashafa HP","Primary","Public",24,"01",1,1,"0050"
"AGEGE","Papa Ashafa","Al-Hassan Nursing Home","Primary","Private",24,"01",1,2,"0051"
"AGEGE","Papa Ashafa","Mucas Hospital","Secondary","Private",24,"01",2,2,"0052"
"AGEGE","Papa Ashafa","Divine Specialist Medical Clinic","Primary","Private",24,"01",1,2,"0053"
"AGEGE","Papa Ashafa","Sar-Victory Nursing Home","Primary","Private",24,"01",1,2,"0054"
"AGEGE","Papa Ashafa","New Alpha Medical Centre","Primary","Private",24,"01",1,2,"0055"
"AGEGE","Papa Ashafa","Mertiland Nursing Home","Primary","Private",24,"01",1,2,"0056"
"AGEGE","Papa Ashafa","Glorious Mercy Convalecent Centre","Primary","Private",24,"01",1,2,"0057"
"AGEGE","Papa Ashafa","Oluwabamide Clinic","Primary","Private",24,"01",1,2,"0058"
"AGEGE","Papa Uku","Blessylva Nursing Home","Primary","Private",24,"01",1,2,"0059"
"AGEGE","Papa Uku","Melan Hospital","Primary","Private",24,"01",1,2,"0060"
"AGEGE","Papa Uku","New Merit Hospital Ltd","Secondary","Private",24,"01",2,2,"0061"
"AGEGE","Papa Uku","Papa Uku PHC","Primary","Public",24,"01",1,1,"0062"
"AGEGE","Sango","Ajegunle HP","Primary","Public",24,"01",1,1,"0063"
"AGEGE","Sango","Olatunji Maternity Home","Primary","Private",24,"01",1,2,"0064"
"AGEGE","Sango","Rekky Hospital","Primary","Private",24,"01",1,2,"0065"
"AGEGE","Sango","Olu-Akinde Nursing Home Centre","Primary","Private",24,"01",1,2,"0066"
"AGEGE","Sango","Grema Mohammed Hospital","Primary","Private",24,"01",1,2,"0067"
"AGEGE","Sango","DLW Medical Centre","Secondary","Private",24,"01",2,2,"0068"
"AGEGE","Sango","Bankole Medical","Primary","Private",24,"01",1,2,"0069"
"AGEGE","Sango","Adams Clinic & Maternity Home","Secondary","Private",24,"01",2,2,"0070"
"AGEGE","Powerline","Dunias Hospital","Primary","Private",24,"01",1,2,"0071"
"AGEGE","Powerline","New Merit Hospital","Primary","Private",24,"01",1,2,"0072"
"AGEGE","Powerline","Molayo Hospital","Primary","Private",24,"01",1,2,"0073"
"AJEROMI-IFELODUN","Layeni","Bismo Clinic","Primary","Private",24,"02",1,2,"0001"
"AJEROMI-IFELODUN","Layeni","Tookas Convalescent Centre","Primary","Private",24,"02",1,2,"0002"
"AJEROMI-IFELODUN","Layeni","City Medicare Hospital","Primary","Private",24,"02",1,2,"0003"
"AJEROMI-IFELODUN","Layeni","De Ife Oluwa Maternity Home","Primary","Private",24,"02",1,2,"0004"
"AJEROMI-IFELODUN","Layeni","Godfri  Convalescent Home","Primary","Private",24,"02",1,2,"0005"
"AJEROMI-IFELODUN","Layeni","Ifunaya Hospital","Primary","Private",24,"02",1,2,"0006"
"AJEROMI-IFELODUN","Layeni","Beebat Medical Centre","Primary","Private",24,"02",1,2,"0007"
"AJEROMI-IFELODUN","Layeni","Layeni PHC","Primary","Public",24,"02",1,1,"0008"
"AJEROMI-IFELODUN","Layeni","First Choice Care Hospital","Primary","Private",24,"02",1,2,"0009"
"AJEROMI-IFELODUN","Layeni","Amukoko  PHC","Primary","Public",24,"02",1,1,"0010"
"AJEROMI-IFELODUN","Layeni","Community Health Project Amukoko","Primary","Private",24,"02",1,2,"0011"
"AJEROMI-IFELODUN","Layeni","Lord Overcomer's Clinic","Primary","Private",24,"02",1,2,"0012"
"AJEROMI-IFELODUN","Layeni","Mercy Yard Specialist Hospital","Primary","Private",24,"02",1,2,"0013"
"AJEROMI-IFELODUN","Layeni","Olanrewaju Convalescent Home","Primary","Private",24,"02",1,2,"0014"
"AJEROMI-IFELODUN","Layeni","Anna's Maternity Home","Primary","Private",24,"02",1,2,"0015"
"AJEROMI-IFELODUN","Layeni","Afegbo Maternity hospital","Primary","Private",24,"02",1,2,"0016"
"AJEROMI-IFELODUN","Layeni","El-Trinity Medical Centre","Primary","Private",24,"02",1,2,"0017"
"AJEROMI-IFELODUN","Amukoko","Olamide Convalescent","Primary","Private",24,"02",1,2,"0018"
"AJEROMI-IFELODUN","Amukoko","Deetab Hospital","Primary","Private",24,"02",1,2,"0019"
"AJEROMI-IFELODUN","Amukoko","Opeyemi Convalescent Home","Primary","Private",24,"02",1,2,"0020"
"AJEROMI-IFELODUN","Amukoko","Ifeanyichukwu Clinic","Primary","Private",24,"02",1,2,"0021"
"AJEROMI-IFELODUN","Amukoko","St Peter-The Rock's Hospital","Primary","Private",24,"02",1,2,"0022"
"AJEROMI-IFELODUN","Amukoko","Success Convalescent Centre","Primary","Private",24,"02",1,2,"0023"
"AJEROMI-IFELODUN","Amukoko","Hal Clinic","Primary","Private",24,"02",1,2,"0024"
"AJEROMI-IFELODUN","Amukoko","Somhi Medical Centre","Primary","Private",24,"02",1,2,"0025"
"AJEROMI-IFELODUN","Amukoko","Natafod Consultans Hospital","Primary","Private",24,"02",1,2,"0026"
"AJEROMI-IFELODUN","Amukoko","Remsol Nursing Home","Primary","Private",24,"02",1,2,"0027"
"AJEROMI-IFELODUN","Amukoko","Safejo Medical Centre","Primary","Private",24,"02",1,2,"0028"
"AJEROMI-IFELODUN","Amukoko","Amukoko Medical Centre","Primary","Private",24,"02",1,2,"0029"
"AJEROMI-IFELODUN","Amukoko","Ndidi Foundation Maternity Home","Primary","Private",24,"02",1,2,"0030"
"AJEROMI-IFELODUN","Amukoko","DVGE Medical Clinic","Primary","Private",24,"02",1,2,"0031"
"AJEROMI-IFELODUN","Ibafon","Ibafon PHC","Primary","Public",24,"02",1,1,"0032"
"AJEROMI-IFELODUN","Ibafon","Zollinger Hospital","Secondary","Private",24,"02",2,2,"0033"
"AJEROMI-IFELODUN","Owoyemi","Milverton Convalescent Home","Primary","Private",24,"02",1,2,"0034"
"AJEROMI-IFELODUN","Owoyemi","Rikky Hospital","Primary","Private",24,"02",1,2,"0035"
"AJEROMI-IFELODUN","Owoyemi","All Souls Clinic Ltd","Secondary","Private",24,"02",2,2,"0036"
"AJEROMI-IFELODUN","Owoyemi","Prince & Princess Hospital","Secondary","Private",24,"02",2,2,"0037"
"AJEROMI-IFELODUN","Owoyemi","Tolu Medical Centre Ltd","Secondary","Private",24,"02",2,2,"0038"
"AJEROMI-IFELODUN","Owoyemi","Oyefule Medical Centre","Primary","Private",24,"02",1,2,"0039"
"AJEROMI-IFELODUN","Alaba","St Mattew Nursing Home","Primary","Private",24,"02",1,2,"0040"
"AJEROMI-IFELODUN","Alaba","Alafia Nursing Home","Primary","Private",24,"02",1,2,"0041"
"AJEROMI-IFELODUN","Alaba","De-Oyefemi Nursing Home","Primary","Private",24,"02",1,2,"0042"
"AJEROMI-IFELODUN","Alaba","Ajifat Nursing Home","Primary","Private",24,"02",1,2,"0043"
"AJEROMI-IFELODUN","Alaba","Shammah Hospital","Secondary","Private",24,"02",2,2,"0044"
"AJEROMI-IFELODUN","Alaba","Adebambo Hospital","Secondary","Private",24,"02",2,2,"0045"
"AJEROMI-IFELODUN","Alaba","Jomark Hospital","Secondary","Private",24,"02",2,2,"0046"
"AJEROMI-IFELODUN","Alaba","De Rado Hospital","Primary","Private",24,"02",1,2,"0047"
"AJEROMI-IFELODUN","Akere","Rakeem Hospital","Primary","Private",24,"02",1,2,"0048"
"AJEROMI-IFELODUN","Akere","Decoastac Dental Clinic","Primary","Private",24,"02",1,2,"0049"
"AJEROMI-IFELODUN","Akere","Quinta Hospital","Primary","Private",24,"02",1,2,"0050"
"AJEROMI-IFELODUN","Akere","Comfort Dental Clinic","Primary","Private",24,"02",1,2,"0051"
"AJEROMI-IFELODUN","Akere","Goodwill Family Hospital","Primary","Private",24,"02",1,2,"0052"
"AJEROMI-IFELODUN","Akere","Ostard Specialist Hospital","Primary","Private",24,"02",1,2,"0053"
"AJEROMI-IFELODUN","Akere","Blessed Virgin Mary (BVM) Hospital","Primary","Private",24,"02",1,2,"0054"
"AJEROMI-IFELODUN","Akere","Amina Nursing And Convalescent Home","Primary","Private",24,"02",1,2,"0055"
"AJEROMI-IFELODUN","Akere","Jibol Nursing Home","Primary","Private",24,"02",1,2,"0056"
"AJEROMI-IFELODUN","Akere","Healing Hands Hospital","Primary","Private",24,"02",1,2,"0057"
"AJEROMI-IFELODUN","Akere","Al-Qadir Convalescent Home","Primary","Private",24,"02",1,2,"0058"
"AJEROMI-IFELODUN","Akere","Mayor clinic","Primary","Private",24,"02",1,2,"0059"
"AJEROMI-IFELODUN","Akere","Celian Hospital","Primary","Private",24,"02",1,2,"0060"
"AJEROMI-IFELODUN","Akere","St Charles Infirmary Medical Centre","Primary","Private",24,"02",1,2,"0061"
"AJEROMI-IFELODUN","Akere","Desay clinic","Primary","Private",24,"02",1,2,"0062"
"AJEROMI-IFELODUN","Akere","Miracle Nursing Home","Primary","Private",24,"02",1,2,"0063"
"AJEROMI-IFELODUN","Akere","Merit Nursing Home","Primary","Private",24,"02",1,2,"0064"
"AJEROMI-IFELODUN","Akere","Faleti Medical Centre","Secondary","Private",24,"02",2,2,"0065"
"AJEROMI-IFELODUN","Akere","Halisa Gold Hospital","Secondary","Private",24,"02",2,2,"0066"
"AJEROMI-IFELODUN","Akere","Dako Medical center","Primary","Private",24,"02",1,2,"0067"
"AJEROMI-IFELODUN","Akere","St Anthony Of Paudua Medical Centre","Primary","Private",24,"02",1,2,"0068"
"AJEROMI-IFELODUN","Akere","De Devine","Primary","Private",24,"02",1,2,"0069"
"AJEROMI-IFELODUN","Akere","Patol Medical Centre","Secondary","Private",24,"02",2,2,"0070"
"AJEROMI-IFELODUN","Akere","Akere PHC","Primary","Public",24,"02",1,1,"0071"
"AJEROMI-IFELODUN","Akere","Kingdom Medical Clinic","Primary","Private",24,"02",1,2,"0072"
"AJEROMI-IFELODUN","Akere","Abbey Medical Centre","Secondary","Private",24,"02",2,2,"0073"
"AJEROMI-IFELODUN","Akere","Ultracare Hospital","Primary","Private",24,"02",1,2,"0074"
"AJEROMI-IFELODUN","Akere","Wilmer Clinic & Maternity","Primary","Private",24,"02",1,2,"0075"
"AJEROMI-IFELODUN","Akere","St James Clinic","Primary","Private",24,"02",1,2,"0076"
"AJEROMI-IFELODUN","Akere","New Ward Maternity Home","Primary","Private",24,"02",1,2,"0077"
"AJEROMI-IFELODUN","Akere","Faithline Medical Center","Primary","Private",24,"02",1,2,"0078"
"AJEROMI-IFELODUN","Akere","The Lord That Healeth Maternity Home","Primary","Private",24,"02",1,2,"0079"
"AJEROMI-IFELODUN","Aiyetoro","Eze Udo Medical Centre","Primary","Private",24,"02",1,2,"0080"
"AJEROMI-IFELODUN","Aiyetoro","Living Word Maternity Home","Primary","Private",24,"02",1,2,"0081"
"AJEROMI-IFELODUN","Aiyetoro","Odudu Maternity clinic","Primary","Private",24,"02",1,2,"0082"
"AJEROMI-IFELODUN","Aiyetoro","Emmanuel P maternity Home","Primary","Private",24,"02",1,2,"0083"
"AJEROMI-IFELODUN","Aiyetoro","City Of Hope Medical Centre","Secondary","Private",24,"02",2,2,"0084"
"AJEROMI-IFELODUN","Aiyetoro","Efan Hospital","Primary","Private",24,"02",1,2,"0085"
"AJEROMI-IFELODUN","Aiyetoro","Aiyepe Hospital","Primary","Private",24,"02",1,2,"0086"
"AJEROMI-IFELODUN","Aiyetoro","Raynie Hospital","Primary","Private",24,"02",1,2,"0087"
"AJEROMI-IFELODUN","Aiyetoro","Jibod Clinic(Annex)","Primary","Private",24,"02",1,2,"0088"
"AJEROMI-IFELODUN","Apasa","Ade-Ade Nursing Home","Primary","Private",24,"02",1,2,"0089"
"AJEROMI-IFELODUN","Apasa","Ajani Memorial Hospital","Primary","Private",24,"02",1,2,"0090"
"AJEROMI-IFELODUN","Apasa","Ethiope Hospital","Primary","Private",24,"02",1,2,"0091"
"AJEROMI-IFELODUN","Ajegunle","Seun-Kemi Clinic","Primary","Private",24,"02",1,2,"0092"
"AJEROMI-IFELODUN","Ajegunle","Saseun Hospital","Secondary","Private",24,"02",2,2,"0093"
"AJEROMI-IFELODUN","Ajegunle","Goodness & Mercy clinic","Primary","Private",24,"02",1,2,"0094"
"AJEROMI-IFELODUN","Ajegunle","Ajeromi/Ifelodun Health Post","Primary","Public",24,"02",1,1,"0095"
"AJEROMI-IFELODUN","Ajegunle","Grace & George Clinic","Primary","Private",24,"02",1,2,"0096"
"AJEROMI-IFELODUN","Awodi- ora","Motor Parts Industrial Clinic","Primary","Private",24,"02",1,2,"0097"
"AJEROMI-IFELODUN","Awodi- ora","Funmilayo Medical Centre","Primary","Private",24,"02",1,2,"0098"
"AJEROMI-IFELODUN","Awodi- ora","Dayspring Faith Clinic","Primary","Private",24,"02",1,2,"0099"
"AJEROMI-IFELODUN","Awodi- ora","Cardoso Catholic Comm Foundation, PHC Clinic","Primary","Private",24,"02",1,2,"0100"
"AJEROMI-IFELODUN","Awodi- ora","Foundation PHC clinic","Primary","Private",24,"02",1,2,"0101"
"AJEROMI-IFELODUN","Awodi- ora","De-Dominion Convalescent Health Centre","Primary","Private",24,"02",1,2,"0102"
"AJEROMI-IFELODUN","Awodi- ora","Emovic Clinic","Primary","Private",24,"02",1,2,"0103"
"AJEROMI-IFELODUN","Awodi- ora","St Milla Hospital (Annex 2)","Primary","Private",24,"02",1,2,"0104"
"AJEROMI-IFELODUN","Awodi- ora","Franco Care Maternity Home","Primary","Private",24,"02",1,2,"0105"
"AJEROMI-IFELODUN","Awodi- ora","Medics Medical Centre","Primary","Private",24,"02",1,2,"0106"
"AJEROMI-IFELODUN","Awodi- ora","Sonex clinic Ltd","Secondary","Private",24,"02",2,2,"0107"
"AJEROMI-IFELODUN","Awodi- ora","Ajeromi Ifelodun General Hospital","Secondary","Public",24,"02",2,1,"0108"
"AJEROMI-IFELODUN","Alayabiagba","Ronke Awoye Clinic","Primary","Private",24,"02",1,2,"0109"
"AJEROMI-IFELODUN","Alayabiagba","G & G Convalescent Home","Primary","Private",24,"02",1,2,"0110"
"AJEROMI-IFELODUN","Alayabiagba","St Milla Hospital (Annex)","Primary","Private",24,"02",1,2,"0111"
"AJEROMI-IFELODUN","Alayabiagba","NASAM Hospital","Primary","Private",24,"02",1,2,"0112"
"AJEROMI-IFELODUN","Alayabiagba","Obisesan Naval Hospital","Primary","Private",24,"02",1,2,"0113"
"AJEROMI-IFELODUN","Alayabiagba","Titilope Nursing Home","Primary","Private",24,"02",1,2,"0114"
"AJEROMI-IFELODUN","Tolu","Tolu PHC","Primary","Public",24,"02",1,2,"0115"
"AJEROMI-IFELODUN","Tolu","Tolu Medical  hospital 2 (Apapa)","Secondary","Private",24,"02",2,2,"0116"
"AJEROMI-IFELODUN","Ojora","White-Flag Convalescent Home","Primary","Private",24,"02",1,2,"0117"
"AJEROMI-IFELODUN","Ojora","First Hope Clinic","Primary","Private",24,"02",1,2,"0118"
"AJEROMI-IFELODUN","Ojora","Omolayo Maternity Home","Primary","Private",24,"02",1,2,"0119"
"AJEROMI-IFELODUN","Ojora","ST. Theresa`s Hospital","Primary","Private",24,"02",1,2,"0120"
"AJEROMI-IFELODUN","Oke oja","Able God Clinic(Annex)","Primary","Private",24,"02",1,2,"0121"
"AJEROMI-IFELODUN","Alakoto","Bethesda Clinic","Primary","Private",24,"02",1,2,"0122"
"AJEROMI-IFELODUN","Alakoto","Frank City Clinic","Primary","Private",24,"02",1,2,"0123"
"AJEROMI-IFELODUN","Alakoto","Gogoro Convalescent Home","Primary","Private",24,"02",1,2,"0124"
"AJEROMI-IFELODUN","Alakoto","Holy Micheal Hospital","Primary","Private",24,"02",1,2,"0125"
"AJEROMI-IFELODUN","Alakoto","Immaculate Maternity Home","Primary","Private",24,"02",1,2,"0126"
"AJEROMI-IFELODUN","Temidire","Babatayo Maternity Home","Primary","Private",24,"02",1,2,"0127"
"AJEROMI-IFELODUN","Temidire","Santa Lucia Maternity Home","Primary","Private",24,"02",1,2,"0128"
"ALIMOSHO","Abaranje","Okerube PHC","Primary","Private",24,"03",1,2,"0001"
"ALIMOSHO","Abaranje","Ade - El - Shaddai Convalescent Home","Primary","Private",24,"03",1,2,"0002"
"ALIMOSHO","Abaranje","Ade - Oyinlade Convalescent Home","Primary","Private",24,"03",1,2,"0003"
"ALIMOSHO","Abaranje","Dera Nursing Home","Primary","Private",24,"03",1,2,"0004"
"ALIMOSHO","Abaranje","Faith Health Centre Nursing Home","Secondary","Private",24,"03",2,2,"0005"
"ALIMOSHO","Abaranje","Hopehome Hospital","Secondary","Private",24,"03",2,2,"0006"
"ALIMOSHO","Abaranje","Joy of Grace Maternity Home","Primary","Private",24,"03",1,2,"0007"
"ALIMOSHO","Abaranje","Livingstone Clinic","Primary","Private",24,"03",1,2,"0008"
"ALIMOSHO","Abaranje","Manifel Medical Centre","Secondary","Private",24,"03",2,2,"0009"
"ALIMOSHO","Abaranje","Uque Zion Hospital","Secondary","Private",24,"03",2,2,"0010"
"ALIMOSHO","Abaranje","Hebrew Land Convalescent","Primary","Private",24,"03",1,2,"0011"
"ALIMOSHO","Abesan 1","Christ Model Maternity","Primary","Private",24,"03",1,2,"0012"
"ALIMOSHO","Abesan 1","Dew Of Blessing Clinic","Primary","Private",24,"03",1,2,"0013"
"ALIMOSHO","Abesan 1","Akinyele PHC","Primary","Public",24,"03",1,1,"0014"
"ALIMOSHO","Abesan 1","Christ My Strenght Maternity Home","Primary","Private",24,"03",1,2,"0015"
"ALIMOSHO","Aboru","Bethel Convalescent Home","Primary","Private",24,"03",1,2,"0016"
"ALIMOSHO","Aboru","Aboru PHC","Primary","Public",24,"03",1,1,"0017"
"ALIMOSHO","Aboru","Bimbola Mercy Gate Maternity Home","Primary","Private",24,"03",1,2,"0018"
"ALIMOSHO","Aboru","Daystar Healthcare Nursing Home","Primary","Private",24,"03",1,2,"0019"
"ALIMOSHO","Aboru","De Vine Hospital (Annex)","Secondary","Private",24,"03",2,2,"0020"
"ALIMOSHO","Aboru","Fount Convalescent Home","Secondary","Private",24,"03",2,2,"0021"
"ALIMOSHO","Aboru","Jages Maternity Home","Primary","Private",24,"03",1,2,"0022"
"ALIMOSHO","Aboru","JYM Top Clinic","Secondary","Private",24,"03",2,2,"0023"
"ALIMOSHO","Aboru","Olamide Hospital","Primary","Private",24,"03",1,2,"0024"
"ALIMOSHO","Aboru","Omosola Hospital","Primary","Private",24,"03",1,2,"0025"
"ALIMOSHO","Aboru","St Hilary's Hospital","Primary","Private",24,"03",1,2,"0026"
"ALIMOSHO","Abule egba","Temitope Clinic & Maternity","Primary","Private",24,"03",1,2,"0027"
"ALIMOSHO","Abule egba","Ajike Medical Centre","Primary","Public",24,"03",1,1,"0028"
"ALIMOSHO","Abule egba","Asom Hospital","Secondary","Private",24,"03",2,2,"0029"
"ALIMOSHO","Abule egba","De - Nikky Hospital","Secondary","Private",24,"03",2,2,"0030"
"ALIMOSHO","Abule egba","Evangel Maternity Home","Primary","Private",24,"03",1,2,"0031"
"ALIMOSHO","Abule egba","First Mainland Hospital","Primary","Private",24,"03",1,2,"0032"
"ALIMOSHO","Abule egba","Geo-Marie Clinic","Primary","Private",24,"03",1,2,"0033"
"ALIMOSHO","Abule egba","Me & Lord's Medical Clinic","Primary","Private",24,"03",1,2,"0034"
"ALIMOSHO","Abule egba","Olaoluwa Convalescent Centre","Primary","Private",24,"03",1,2,"0035"
"ALIMOSHO","Abule egba","Onxy Hospital And Maternity Home","Secondary","Private",24,"03",2,2,"0036"
"ALIMOSHO","Abule egba","Royal Grace Medical Centre","Secondary","Private",24,"03",2,2,"0037"
"ALIMOSHO","Abule egba","Standard Life Care Clinic","Primary","Private",24,"03",1,2,"0038"
"ALIMOSHO","Abule egba","The Zion Maternity Centre","Primary","Private",24,"03",1,2,"0039"
"ALIMOSHO","Abule egba","Yemi Maternity","Primary","Private",24,"03",1,2,"0040"
"ALIMOSHO","Abule egba","Hamkad Hospital Limited","Primary","Private",24,"03",1,2,"0041"
"ALIMOSHO","Abule egba","Twins Convalescent Home","Primary","Private",24,"03",1,2,"0042"
"ALIMOSHO","Agbado","Micah Convalescent Home","Primary","Private",24,"03",1,2,"0043"
"ALIMOSHO","Agbelekale","Agbelekale PHC","Primary","Public",24,"03",1,1,"0044"
"ALIMOSHO","Agbelekale","Cornerstone Foundation Hospital","Primary","Private",24,"03",1,2,"0045"
"ALIMOSHO","Agbelekale","De-Rohi Medical Hospital Ltd","Secondary","Private",24,"03",2,2,"0046"
"ALIMOSHO","Agbelekale","Grace Of God Hospital","Secondary","Private",24,"03",2,2,"0047"
"ALIMOSHO","Agbelekale","Living Faith Health Care","Primary","Private",24,"03",1,2,"0048"
"ALIMOSHO","Agbelekale","Teleg Medical Clinic","Primary","Private",24,"03",1,2,"0049"
"ALIMOSHO","Agbelekale","Ogundimu PHC","Primary","Public",24,"03",1,1,"0050"
"ALIMOSHO","Agbelekale","Cornerstone Hospital","Secondary","Private",24,"03",2,2,"0051"
"ALIMOSHO","Agbelekale","Wilfri Medical Clinic","Primary","Private",24,"03",1,2,"0052"
"ALIMOSHO","Ajasa/ Amikanle","Abimbola Convalescent Centre","Primary","Public",24,"03",1,1,"0053"
"ALIMOSHO","Ajasa/ Amikanle","ABS Medicare Centre","Secondary","Private",24,"03",2,2,"0054"
"ALIMOSHO","Ajasa/ Amikanle","Mankind Medical Clinic","Secondary","Private",24,"03",2,2,"0055"
"ALIMOSHO","Ajasa/ Amikanle","Oluwasegun Medical Clinic","Secondary","Private",24,"03",2,2,"0056"
"ALIMOSHO","Ajasa/ Amikanle","Oluwatodupefun Convalescent Home","Primary","Private",24,"03",1,2,"0057"
"ALIMOSHO","Ajasa/ Amikanle","Onaolapo Victory Clinic","Secondary","Private",24,"03",2,2,"0058"
"ALIMOSHO","Ajasa/ Amikanle","God's Renik Maternity Home","Primary","Private",24,"03",1,2,"0059"
"ALIMOSHO","Ajasa/ Amikanle","Rock Medical Clinic (Annex)","Primary","Private",24,"03",1,2,"0060"
"ALIMOSHO","Ajasa/ Amikanle","Amikanle PHC","Primary","Public",24,"03",1,1,"0061"
"ALIMOSHO","Ajasa/ Amikanle","Meran PHC","Primary","Public",24,"03",1,1,"0062"
"ALIMOSHO","Akesan/ Obadore","Adebek Maternity Home","Primary","Public",24,"03",1,2,"0063"
"ALIMOSHO","Akesan/ Obadore","Divine Blessing Hospital","Secondary","Private",24,"03",2,2,"0064"
"ALIMOSHO","Akesan/ Obadore","Gracious-Yem Clinic","Primary","Private",24,"03",1,2,"0065"
"ALIMOSHO","Akesan/ Obadore","Jubilee Convalescent Centre","Primary","Private",24,"03",1,2,"0066"
"ALIMOSHO","Akesan/ Obadore","Mofeayo Nursing Home(Annex)","Primary","Private",24,"03",1,2,"0067"
"ALIMOSHO","Akesan/ Obadore","Agbenuba PHC","Primary","Public",24,"03",1,1,"0068"
"ALIMOSHO","Akowonjo","Aduaa Gbemi Medical Centre","Secondary","Private",24,"03",2,2,"0069"
"ALIMOSHO","Akowonjo","Baylod Simpson Hospital","Secondary","Private",24,"03",2,2,"0070"
"ALIMOSHO","Akowonjo","Bee-Hess Hospital","Secondary","Private",24,"03",2,2,"0071"
